"BACKUP_ID";"BEZ";"ONR"
1;"16 - Jahr 2020";16
2;"15 - Jahr 2020";15
3;"5 - Jahr 2020";5
4;"9 - Jahr 2020";9
5;"6 - Jahr 2020";6
6;"16 - Jahr 2021";16
64;"70 - Jahr 2023";70
11;"42 - Jahr 2023";42
30;"58 - Jahr 2022";58
13;"42 - Jahr 2022";42
48;"80 - Jahr 2024";80
16;"21 - Jahr 2023";21
46;"80 - Jahr 2022";80
18;"72 - Jahr 2022";72
67;"109 - Jahr 2023";109
22;"68 - Jahr 2023";68
23;"62 - Jahr 2022";62
24;"45 - Jahr 2022";45
65;"62 - Jahr 2023";62
28;"84 - Jahr 2022";84
31;"58 - Jahr 2023";58
32;"20 - Jahr 2022";20
33;"17 - Jahr 2022";17
34;"49 - Jahr 2022";49
35;"57 - Jahr 2022";57
36;"5 - Jahr 2022";5
38;"9 - Jahr 2023";9
39;"15 - Jahr 2022";15
40;"86 - Jahr 2022";86
41;"21 - Jahr 2022";21
42;"33 - Jahr 2022";33
43;"9 - Jahr 2022";9
44;"59 - Jahr 2022";59
47;"38 - Jahr 2022";38
45;"75 - Jahr 2022";75
63;"49 - Jahr 2023";49
50;"56 - Jahr 2023";56
51;"60 - Jahr 2023";60
52;"61 - Jahr 2023";61
53;"63 - Jahr 2023";63
54;"55 - Jahr 2023";55
55;"84 - Jahr 2023";84
56;"51 - Jahr 2023";51
57;"76 - Jahr 2023";76
58;"44 - Jahr 2023";44
59;"71 - Jahr 2023";71
60;"48 - Jahr 2023";48
62;"82 - Jahr 2023";82
61;"32 - Jahr 2023";32
70;"45 - Jahr 2023";45
