"BANK";"BLZ";"KURZBEZ";"ART";"BIC"
"Kasse Haus 997";"";"Kasse";1;""
"Kasse Haus 998";"";"";1;""
"Kasse Haus 999";"";"Kasse";1;""
"Postbank -Giro-";"700 100 80";"PostSch";0;"PBNKDEFFXXX"
"Postbank (Fyrst)";"100 100 10";"";0;"PBNKDEFFXXX"
"DB PFK (Deutsche Bank PGK)";"360 700 24";"";0;"DEUTDEDBESS"
"DKB";"120 300 00";"";0;"BYLADEM1001"
"VB Ruhr Mitte Gelsenkirchen";"422 600 01";"";0;"GENODEM1GBU"
"VB Düsseldorf Neuss";"301 602 13";"";0;"GENODED1DNE"
"Volksbank Sprockhövel";"452 615 47";"";0;"GENODEM1SPO"
"BBBank Karlsruhe";"660 908 00";"";0;"GENODE61BBB"
"Volksbank Niederrhein";"354 611 06";"";0;"GENODED1NRH"
"Sparkasse Bochum";"430 500 01";"";0;"WELADED1BOC"
"Kreissparkasse Vulkaneifel";"586 512 40";"";0;"MALADE51DAU"
"VB Rhein-Erft-Köln";"370 623 65";"";0;"GENODED1FHH"
"Sparkasse KölnBonn";"370 501 98";"";0;"COLSDE33XXX"
"St Spk Mönchengladbach";"310 500 00";"";0;"MGLSDE33XXX"
"Postbank Ndl Deutsche Bank";"440 100 46";"";0;"PBNKDEFFXXX"
