"ONR";"LFDNR";"DATUM";"ORT";"ART";"STATUS";"THEMA";"BEARBEITER";"OEFFNUNGSKLAUSEL";"TEXT";"GEHOERTZU";"THEMA_INDEX";"STATUS_TEXT";"DATUM_BEARBEITET";"VERMERK"
86;1;01.02.2024;"45127 Essen";0;0;"Bericht";"";"N";"Berichte des Verwalters und des Verwaltungsbeirats zum abgelaufenen Geschäftsjahr
Abstimmungsergebnis:  Für JA: 342,9200; Für NEIN: 657,0800; Für ENTHALTUNG: 0,0000; SUMME: 1.000,0000Beschluss aufgrund einfacher Mehrheit nicht angenommen (die Ja-Stimmen sind niedriger als die Nein-Stimmen)";;"Bericht";"";05.01.2024;""
21;1;01.02.2024;"45127 Essen";0;0;"Bericht";"";"N";"Berichte des Verwalters und des Verwaltungsbeirats zum abgelaufenen Geschäftsjahr
Abstimmungsergebnis:  Für JA: 342,9200; Für NEIN: 657,0800; Für ENTHALTUNG: 0,0000; SUMME: 1.000,0000Beschluss aufgrund einfacher Mehrheit nicht angenommen (die Ja-Stimmen sind niedriger als die Nein-Stimmen)";;"Bericht";"";05.01.2024;""
21;2;01.02.2024;"45127 Essen";0;0;"Wirtschaftsplan";"";"N";"Beschluss über die sich auf Grundlage der Jahresgesamtabrechnung für das Geschäftsjahr 2022 
ergebenden Nachschüsse bzw. Anpassungsbeträge
Abstimmungsergebnis:  Für JA: 657,0800; Für NEIN: 342,9200; Für ENTHALTUNG: 0,0000; SUMME: 1.000,0000Beschluss aufgrund einfacher Mehrheit angenommen (die Ja-Stimmen sind höher als die Nein-Stimmen)";;"Wirtschaftsplan";"";05.01.2024;""
21;3;01.02.2024;"45127 Essen";0;0;"Einzelwirtschaftsplan";"";"N";"Beschluss über die auf Grundlage des Gesamtwirtschaftsplans sowie der entsprechenden 
Einzelwirtschaftspläne festzusetzenden Vorschüsse, gültig ab dem 01.01.2024. 
Abstimmungsergebnis:  Für JA: 0,0000; Für NEIN: 657,0800; Für ENTHALTUNG: 342,9200; SUMME: 1.000,0000Beschluss aufgrund einfacher Mehrheit nicht angenommen (die Ja-Stimmen sind niedriger als die Nein-Stimmen)";;"Einzelwirtschaftsplan";"";05.01.2024;""
86;2;01.02.2024;"45127 Essen";0;0;"Wirtschaftsplan";"";"N";"Beschluss über die sich auf Grundlage der Jahresgesamtabrechnung für das Geschäftsjahr 2022 
ergebenden Nachschüsse bzw. Anpassungsbeträge
Abstimmungsergebnis:  Für JA: 657,0800; Für NEIN: 342,9200; Für ENTHALTUNG: 0,0000; SUMME: 1.000,0000Beschluss aufgrund einfacher Mehrheit angenommen (die Ja-Stimmen sind höher als die Nein-Stimmen)";;"Wirtschaftsplan";"";05.01.2024;""
86;3;01.02.2024;"45127 Essen";0;0;"Einzelwirtschaftsplan";"";"N";"Beschluss über die auf Grundlage des Gesamtwirtschaftsplans sowie der entsprechenden 
Einzelwirtschaftspläne festzusetzenden Vorschüsse, gültig ab dem 01.01.2024. 
Abstimmungsergebnis:  Für JA: 0,0000; Für NEIN: 657,0800; Für ENTHALTUNG: 342,9200; SUMME: 1.000,0000Beschluss aufgrund einfacher Mehrheit nicht angenommen (die Ja-Stimmen sind niedriger als die Nein-Stimmen)";;"Einzelwirtschaftsplan";"";05.01.2024;""
55;1;29.01.2024;"50767 Köln";0;0;"Abrechnungsspitzen und Anpassungsbeträge";"";"N";"Beschluss: Festsetzung der Grundlage der Jahresgesamtabrechnung für das Geschäftsjahr 
ergebenden Abrechnungsspitzen bzw. Anpassungsbeträge.
TEST333
Abstimmungsergebnis:  Für JA: 450,7800; Für NEIN: 0,0000; Für ENTHALTUNG: 0,0000; SUMME: 450,7800Beschluss aufgrund einfacher Mehrheit angenommen (die Ja-Stimmen sind höher als die Nein-Stimmen)";;"Abrechnungsspitzen";"";01.02.2024;""
55;2;29.01.2024;"50767 Köln";0;0;"Entlastung des Verwalters";"";"N";"Beschluss: Der Verwalter wird für das Geschäftsjahr 2022 entlastet.
Abstimmungsergebnis:  Für JA: 450,7800; Für NEIN: 0,0000; Für ENTHALTUNG: 0,0000; SUMME: 450,7800Beschluss aufgrund einfacher Mehrheit angenommen (die Ja-Stimmen sind höher als die Nein-Stimmen)";;"Entlastung-Verwaltung";"";01.02.2024;""
55;3;29.01.2024;"50767 Köln";0;0;"Entlastung des Verwaltungsbeirats";"";"N";"Beschluss: Der Verwaltungsbeirat wird für das Geschäftsjahr 2022 entlastet.
Abstimmungsergebnis:  Für JA: 450,7800; Für NEIN: 0,0000; Für ENTHALTUNG: 0,0000; SUMME: 450,7800Beschluss aufgrund einfacher Mehrheit angenommen (die Ja-Stimmen sind höher als die Nein-Stimmen)";;"Entlastung-Beirat";"";01.02.2024;""
55;4;29.01.2024;"50767 Köln";0;0;"Auffüllen der Hauskasse für kleine Reparaturen durch die Eigentümer";"";"N";"Beschluss: Dem Eigentümer Derix werden Aufwände für Kleinmateralien wie z. B. 
Glühbirnen gegen Nachweis erstattet. Eine Abrechnung erfolgt auf jährlicher Basis.
Abstimmungsergebnis:  Für JA: 450,7800; Für NEIN: 0,0000; Für ENTHALTUNG: 0,0000; SUMME: 450,7800Beschluss aufgrund einfacher Mehrheit angenommen (die Ja-Stimmen sind höher als die Nein-Stimmen)";;"";"";01.02.2024;""
