"NR";"BNR";"KNR";"BETRAG";"OPNR";"ARTOP";"MWSTOP"
4094;7244;60000;299,00;7112;10;0,00
4095;7244;60020;50,00;7113;11;0,00
4096;7244;60030;75,00;7114;12;0,00
4097;7247;60000;299,00;7121;10;0,00
4098;7247;60020;61,00;7122;11;0,00
4099;7247;60030;75,00;7123;12;0,00
4100;7248;60000;708,50;7115;10;0,00
4101;7248;60020;100,00;7116;11;0,00
4102;7248;60030;120,00;7117;12;0,00
4103;7249;60000;299,00;7124;10;0,00
4104;7249;60020;50,00;7125;11;0,00
4105;7249;60030;70,00;7126;12;0,00
4106;7250;60000;300,00;7118;10;0,00
4107;7250;60020;60,00;7119;11;0,00
4108;7250;60030;75,00;7120;12;0,00
4109;7251;60000;318,00;7109;10;0,00
4110;7251;60020;60,00;7110;11;0,00
4111;7251;60030;60,00;7111;12;0,00
4112;7285;60000;299,00;7139;10;0,00
4113;7285;60020;61,00;7140;11;0,00
4114;7285;60030;75,00;7141;12;0,00
4115;7286;60000;299,00;7130;10;0,00
4116;7286;60020;50,00;7131;11;0,00
4117;7286;60030;75,00;7132;12;0,00
4118;7287;60000;708,50;7133;10;0,00
4119;7287;60020;100,00;7134;11;0,00
4120;7287;60030;120,00;7135;12;0,00
4121;7288;60000;299,00;7142;10;0,00
4122;7288;60020;50,00;7143;11;0,00
4123;7288;60030;70,00;7144;12;0,00
4124;7289;60000;318,00;7127;10;0,00
4125;7289;60020;60,00;7128;11;0,00
4126;7289;60030;60,00;7129;12;0,00
4127;7290;60000;300,00;7136;10;0,00
4128;7290;60020;60,00;7137;11;0,00
4129;7290;60030;75,00;7138;12;0,00
4130;7291;60000;299,00;7157;10;0,00
4131;7291;60020;61,00;7158;11;0,00
4132;7291;60030;75,00;7159;12;0,00
4133;7292;60000;299,00;7148;10;0,00
4134;7292;60020;50,00;7149;11;0,00
4135;7292;60030;75,00;7150;12;0,00
4136;7293;60000;708,50;7151;10;0,00
4137;7293;60020;100,00;7152;11;0,00
4138;7293;60030;120,00;7153;12;0,00
4139;7295;60000;299,00;7160;10;0,00
4140;7295;60020;50,00;7161;11;0,00
4141;7295;60030;70,00;7162;12;0,00
4142;7296;60000;318,00;7145;10;0,00
4143;7296;60020;60,00;7146;11;0,00
