"LFDNR";"NR";"ONR";"MKRNR";"BEZ";"EINHEIT";"WEG";"DEZ";"ART";"VERWENDET";"ZAEHLER";"ZSUMME"
1;1;;9;"Wohnfläche";"qm";"N";;1;"N";"N";0
2;2;;9;"Personen x Tage";"PxT";"N";;2;"N";"N";0
3;3;;9;"Wohneinheit";"Einh.";"N";;1;"N";"N";0
4;4;;9;"Ext. Heizkosten";"EUR";"N";;3;"J";"N";0
5;5;;9;"Warmwas. Zähler";"cbm";"N";;4;"J";"J";1
6;6;;9;"Kaltw. Zähler";"cbm";"N";;4;"J";"J";2
7;7;;9;"Wärme Zähler";"Einh.";"N";;4;"J";"J";4
8;8;;9;"Wasser (Gew.)";"cbm";"N";;4;"N";"J";8
9;9;;9;"Freier Zähler";"-";"N";;4;"N";"J";16
10;10;;9;"Freier Zähler";"-";"N";;4;"N";"J";32
11;11;;9;"m² Heizfläche";"m²";"N";;1;"N";"N";0
12;12;;9;"Garage";"Einh.";"N";;1;"N";"N";0
13;13;;9;"Mülleimer";"MEI";"N";;1;"N";"N";0
14;14;;9;"Kabelfernseher";"TV";"N";;1;"N";"N";0
15;15;;9;"Aufzug";"ET";"N";;1;"N";"N";0
16;16;;9;"Rücklastschrift";"EUR";"N";;3;"N";"N";0
17;17;;9;"Mahnkosten";"EUR";"N";;3;"N";"N";0
18;18;;9;"Frei";"";"N";;1;"N";"N";0
19;19;;9;"Frei";"";"N";;1;"N";"N";0
20;20;;9;"Frei";"";"N";;1;"N";"N";0
21;21;;9;"Frei";"";"N";;1;"N";"N";0
22;22;;9;"Frei";"";"N";;1;"N";"N";0
23;23;;9;"Frei";"";"N";;1;"N";"N";0
24;24;;9;"Frei";"";"N";;1;"N";"N";0
25;25;;9;"Frei";"";"N";;1;"N";"N";0
26;26;;9;"Frei";"";"N";;1;"N";"N";0
27;27;;9;"Frei";"";"N";;1;"N";"N";0
28;28;;9;"Frei";"";"N";;1;"N";"N";0
29;29;;9;"Frei";"";"N";;1;"N";"N";0
30;30;;9;"Frei";"";"N";;1;"N";"N";0
31;31;;9;"Frei";"";"N";;1;"N";"N";0
32;32;;9;"Frei";"";"N";;1;"N";"N";0
33;33;;9;"Frei";"";"N";;1;"N";"N";0
34;34;;9;"Frei";"";"N";;1;"N";"N";0
35;35;;9;"Frei";"";"N";;1;"N";"N";0
36;36;;9;"Frei";"";"N";;1;"N";"N";0
37;37;;9;"Frei";"";"N";;1;"N";"N";0
38;38;;9;"Frei";"";"N";;1;"N";"N";0
39;39;;9;"Frei";"";"N";;1;"N";"N";0
40;40;;9;"Frei";"";"N";;1;"N";"N";0
41;41;;9;"Frei";"";"N";;1;"N";"N";0
42;42;;9;"Frei";"";"N";;1;"N";"N";0
43;43;;9;"Frei";"";"N";;1;"N";"N";0
44;44;;9;"Frei";"";"N";;1;"N";"N";0
45;45;;9;"Frei";"";"N";;1;"N";"N";0
46;46;;9;"Frei";"";"N";;1;"N";"N";0
47;47;;9;"Frei";"";"N";;1;"N";"N";0
48;48;;9;"Personen x Tage";"PxT";"N";;2;"N";"N";0
49;49;;9;"Personen x Tage";"PxT";"N";;2;"N";"N";0
50;1;;10;"Wohnfläche";"qm";"N";;1;"N";"N";0
