"DATUM_ZEIT";"PFAD";"DATEN";"BEMERKUNG"
04.09.2020 12:26;"C:\Users\pbauc\OneDrive\1. Hausverwaltung\WinCasa2020 Backup\Daten\WINCASA2020vom20-09-04_Zeit_122610.001";0;"Sicherung"
07.09.2020 15:02;"C:\Users\pbauc\OneDrive\1. Hausverwaltung\WinCasa2020 Backup\Daten\WINCASA2020vom20-09-07_Zeit_150208.001";0;"Sicherung"
07.09.2020 15:45;"C:\Users\pbauc\OneDrive\1. Hausverwaltung\WinCasa2020 Backup\Daten\WINCASA2020vom20-09-07_Zeit_154457.001";0;"Sicherung"
10.09.2020 14:16;"C:\Users\pbauc\OneDrive\1. Hausverwaltung\WinCasa2020 Backup\Daten\WINCASA2020vom20-09-10_Zeit_141555.001";0;"Sicherung"
21.09.2020 12:38;"C:\Users\pbauc\OneDrive\1. Hausverwaltung\WinCasa2020 Backup\Daten\WINCASA2020vom20-09-21_Zeit_123755.001";0;"Sicherung"
22.09.2020 14:54;"C:\Users\pbauc\OneDrive\1. Hausverwaltung\WinCasa2020 Backup\Daten\WINCASA2020vom20-09-22_Zeit_145408.001";0;"Sicherung"
02.10.2020 23:56;"D:\WINCASA2020vom20-10-02_Zeit_235544.001";0;"Fahims update "
03.10.2020 00:16;"D:\WINCASA2020vom20-10-03_Zeit_001544.001";0;"Konten & diverse fehler korrig"
03.10.2020 01:02;"D:\WINCASA2020vom20-10-03_Zeit_010203.001";0;"Konten & diverse fehler korrig"
25.10.2020 19:34;"D:\WINCASA2020vom20-10-25_Zeit_193345.001";0;"Sicherung"
25.10.2020 21:25;"D:\WINCASA2020vom20-10-25_Zeit_212511.001";0;"Sicherung"
30.10.2020 18:13;"D:\WINCASA2020vom20-10-30_Zeit_181310.001";0;"Sicherung"
30.10.2020 19:54;"D:\WINCASA2020vom20-10-30_Zeit_195412.001";0;"Sicherung"
30.10.2020 23:21;"D:\WINCASA2020vom20-10-30_Zeit_232123.001";0;"Sicherung"
01.11.2020 15:43;"D:\WINCASA2020vom20-11-01_Zeit_154324.001";0;"Sicherung"
01.11.2020 16:42;"D:\WINCASA2020vom20-11-01_Zeit_164210.001";0;"Sicherung"
02.11.2020 13:18;"D:\WINCASA2020vom20-11-02_Zeit_131756.001";0;"Sicherung"
02.11.2020 17:30;"D:\WINCASA2020vom20-11-02_Zeit_172939.001";0;"Sicherung"
02.11.2020 17:59;"D:\WINCASA2020vom20-11-02_Zeit_175910.001";0;"Sicherung"
02.11.2020 22:15;"D:\WINCASA2020vom20-11-02_Zeit_221449.001";0;"Sicherung"
03.11.2020 14:49;"D:\WINCASA2020vom20-11-03_Zeit_144838.001";0;"Sicherung"
03.11.2020 15:21;"D:\WINCASA2020vom20-11-03_Zeit_152106.001";0;"Sicherung"
04.11.2020 01:00;"D:\WINCASA2020vom20-11-04_Zeit_005947.001";0;"Sicherung"
05.11.2020 20:47;"D:\WINCASA2020vom20-11-05_Zeit_204637.001";0;"Sicherung"
05.11.2020 21:13;"D:\WINCASA2020vom20-11-05_Zeit_211241.001";0;"Sicherung"
05.11.2020 22:03;"D:\WINCASA2020vom20-11-05_Zeit_220316.001";0;"Sicherung"
08.11.2020 17:06;"D:\WINCASA2020vom20-11-08_Zeit_170630.001";0;"Sicherung"
10.11.2020 15:42;"D:\WINCASA2020vom20-11-10_Zeit_154233.001";0;"Sicherung"
10.11.2020 16:03;"D:\WINCASA2020vom20-11-10_Zeit_160244.001";0;"Sicherung"
10.11.2020 17:56;"D:\WINCASA2020vom20-11-10_Zeit_175627.001";0;"Sicherung"
10.11.2020 18:46;"D:\WINCASA2020vom20-11-10_Zeit_184602.001";0;"Sicherung"
10.11.2020 18:49;"D:\WINCASA2020vom20-11-10_Zeit_184931.001";0;"Sicherung"
12.11.2020 14:19;"D:\WINCASA2020vom20-11-12_Zeit_141917.001";0;"Sicherung"
12.11.2020 20:34;"D:\WINCASA2020vom20-11-12_Zeit_203415.001";0;"Sicherung"
13.11.2020 00:32;"D:\WINCASA2020vom20-11-13_Zeit_003207.001";0;"Sicherung"
14.11.2020 21:34;"D:\WINCASA2020vom20-11-14_Zeit_213417.001";0;"Objekte vollständig inseriert"
15.11.2020 00:00;"D:\WINCASA2020vom20-11-15_Zeit_000014.001";0;"Sicherung"
15.11.2020 00:03;"D:\WINCASA2020vom20-11-15_Zeit_000245.001";0;"Sicherung"
15.11.2020 17:45;"D:\WINCASA2020vom20-11-15_Zeit_174532.001";0;"Sicherung"
17.11.2020 21:24;"D:\WINCASA2020vom20-11-17_Zeit_212357.001";0;"Sicherung"
17.11.2020 22:18;"D:\WINCASA2020vom20-11-17_Zeit_221832.001";0;"Sicherung"
10.12.2020 10:48;"C:\Users\pbauc\OneDrive\1. Hausverwaltung\WinCasa2020 Backup\Daten\WINCASA2020vom20-12-10_Zeit_104805.001";0;"Sicherung"
10.12.2020 13:06;"C:\Users\pbauc\OneDrive\1. Hausverwaltung\WinCasa2020 Backup\Daten\WINCASA2020vom20-12-10_Zeit_130531.001";0;"Sicherung"
10.12.2020 16:15;"C:\Users\pbauc\OneDrive\1. Hausverwaltung\WinCasa2020 Backup\Daten\WINCASA2020vom20-12-10_Zeit_161425.001";0;"Sicherung"
13.12.2020 19:06;"D:\WINCASA2020vom20-12-13_Zeit_190605.001";0;"Sicherung"
13.12.2020 21:50;"D:\WINCASA2020vom20-12-13_Zeit_215018.001";0;"Sicherung"
14.12.2020 14:44;"C:\Users\pbauc\OneDrive\1. Hausverwaltung\WinCasa2020 Backup\Daten\WINCASA2020vom20-12-14_Zeit_144346.001";0;"Sicherung"
14.12.2020 15:14;"C:\Users\pbauc\OneDrive\1. Hausverwaltung\WinCasa2020 Backup\Daten\WINCASA2020vom20-12-14_Zeit_151407.001";0;"Sicherung"
14.12.2020 16:17;"C:\Users\pbauc\OneDrive\1. Hausverwaltung\WinCasa2020 Backup\Daten\WINCASA2020vom20-12-14_Zeit_161624.001";0;"Sicherung"
27.12.2020 01:25;"D:\PBImmobilien\PBImmobilien - General\1. Ruhrstadt-Hausverwaltung GbR\1. Objektdaten für WinCasa\WINCASA2020vom20-12-27_Zeit_012441.001";0;"Sicherung"
