"KNR";"KONTO";"FINANZ";"ART";"STEXP";"KOST1";"KOST2"
1;"Aufwendungen für die Ingangsetzung und Erweiterung des Geschäftsbetriebs";"";"";"J";"";""
5;"Rückständige fällige Einzahlungen auf Geschäftsanteile";"";"";"J";"";""
10;"Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten";"";"";"J";"";""
15;"Konzessionen ";"";"";"J";"";""
20;"Gewerbliche Schutzrechte ";"";"";"J";"";""
23;"Markennamen ";"";"";"J";"";""
24;"Drucktitel und Verlagsrechte ";"";"";"J";"";""
25;"Ähnliche Rechte und Werte";"";"";"J";"";""
26;"Rezepte, Geheimverfahren, Modelle, Entwürfe und Prototypen";"";"";"J";"";""
27;"EDV-Software ";"";"";"J";"";""
30;"Lizenzen an gewerblichen Schutzrechten und ähnlichen Rechten und Werten";"";"";"J";"";""
35;"Geschäfts- oder Firmenwert ";"";"";"J";"";""
38;"Anzahlungen auf Geschäfts- oder Firmenwert ";"";"";"J";"";""
39;"Geleistete Anzahlungen auf immaterielle Vermögensgegenstände";"";"";"J";"";""
40;"Verschmelzungsmehrwert";"";"";"J";"";""
43;"Selbst geschaffene immaterielle Vermögensgegenstände ";"";"";"J";"";""
44;"EDV-Software ";"";"";"J";"";""
45;"Lizenzen und Franchiseverträge ";"";"";"J";"";""
46;"Konzessionen und gewerbliche Schutzrechte";"";"";"J";"";""
47;"Rezepte, Verfahren, Prototypen";"";"";"J";"";""
48;"Immaterielle Vermögensgegenstände in Entwicklung";"";"";"J";"";""
49;"Sonstige immaterielle Vermögenswerte";"";"";"J";"";""
50;"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken ";"";"";"J";"";""
59;"Grundstücksanteil des häuslichen Arbeitszimmers ";"";"";"J";"";""
60;"Grundstücksgleiche Rechte ohne Bauten";"";"";"J";"";""
65;"Unbebaute Grundstücke ";"";"";"J";"";""
70;"Grundstücksgleiche Rechte (Erbbaurecht, Dauerwohnrecht, unbebaute Grundstücke) ";"";"";"J";"";""
75;"Grundstücke mit Substanzverzehr ";"";"";"J";"";""
79;"Anzahlungen auf Grundstücke und grundstücksgleiche Rechte ohne Bauten";"";"";"J";"";""
80;"Bauten auf eigenen Grundstücken und grundstücksgleichen Rechten ";"";"";"J";"";""
85;"Grundstückswerte eigener bebauter Grundstücke ";"";"";"J";"";""
90;"Geschäftsbauten ";"";"";"J";"";""
100;"Fabrikbauten ";"";"";"J";"";""
110;"Garagen ";"";"";"J";"";""
111;"Außenanlagen für Geschäfts-, Fabrik- und andere Bauten ";"";"";"J";"";""
112;"Hof- und Wegebefestigungen ";"";"";"J";"";""
113;"Einrichtungen für Geschäfts-, Fabrik- und andere Bauten ";"";"";"J";"";""
115;"Andere Bauten";"";"";"J";"";""
120;"Geschäfts-, Fabrik- und andere Bauten im Bau auf eigenen Grundstücken";"";"";"J";"";""
129;"Anzahlungen auf Geschäfts-, Fabrik- und andere Bauten auf eigenen Grundstücken und grundstücksgleichen Rechten";"";"";"J";"";""
140;"Wohnbauten ";"";"";"J";"";""
145;"Garagen ";"";"";"J";"";""
146;"Außenanlagen ";"";"";"J";"";""
147;"Hof- und Wegebefestigungen ";"";"";"J";"";""
148;"Einrichtungen für Wohnbauten ";"";"";"J";"";""
149;"Gebäudeteil des häuslichen Arbeitszimmers";"";"";"J";"";""
150;"Wohnbauten im Bau auf eigenen Grundstücken ";"";"";"J";"";""
159;"Anzahlungen auf Wohnbauten auf eigenen Grundstücken und grundstücksgleichen Rechten";"";"";"J";"";""
160;"Bauten auf fremden Grundstücken";"";"";"J";"";""
165;"Geschäftsbauten";"";"";"J";"";""
