"NR";"BEZEICHNUNG";"ZUSATZ";"DATUMZEIT";"BEARBEITER";"TREE_IDX"
79;"Kautionsaufrechnung";"";04.11.2022 10:47;"";40001
80;"Fristlose Kündigung";"";05.12.2024 12:03;"";40001
83;"Mahnung";"";17.12.2024 11:25;"";40001
85;"Mietbescheinigung";"";09.02.2024 11:44;"";40001
86;"Mieterhöhung";"";08.02.2023 13:39;"";40001
88;"Mahnung Eigentümer";"";21.06.2023 13:24;"";40002
89;"Toma Anschreiben";"";12.09.2024 14:36;"";40002
90;"Anschreiben Monca";"";24.02.2025 21:16;"";40002
91;"Einladung ETV Monca";"";23.09.2024 14:51;"";40002
92;"Anschreiben Techem elektronischer Datenaustausch";"";28.02.2024 17:49;"";40001
93;"Umlaufbeschluss HEINR5";"";25.03.2024 15:17;"";40003
94;"Mietschuldenfreiheitsbescheinigung Vorlage 1.rtf";"";27.03.2024 14:44;"";40001
95;"RSHV Einladung Versammlung";"";11.04.2024 15:02;"";40002
96;"Nutzerwechsel Anschreiben";"";23.09.2024 14:51;"";40002
97;"Anschreiben";"";05.12.2024 12:04;"";40001
98;"Anschreiben HK 2023";"";22.11.2024 14:22;"";40002
99;"Ordentliche Kündigung";"";15.04.2025 20:14;"";40001
100;"Anschreiben NK 2023 - Verzögerung BFW";"";12.12.2024 14:10;"";40001
