"NR";"BNR";"ZTNR";"BETRAG";"TEXT";"VON";"BIS";"LIEFKNR";"ART";"GROUPNR";"BETRAG_GES";"BETRAG_MATERIAL";"BEONRDIREKT";"BEKNRDIREKT"
617;78162;;224,96;"Wartung";;;;4;;224,96;0,00;;
616;60681;;187,50;"Instandhaltung";;;;4;;538,71;351,21;;
92;45425;;194,40;"Instandhaltung";;;;4;;252,76;58,36;;
109;44593;;345,00;"Hausreinigung";;;;4;;410,55;65,55;;
110;44594;;345,00;"Hausreinigung";;;;4;;410,55;65,55;;
111;44599;;345,00;"Hausreinigung";;;;4;;410,55;65,55;;
112;44595;;345,00;"Hausreinigung";;;;4;;410,55;65,55;;
113;44602;;184,56;"Schornsteinfeger";;;;4;;236,76;52,20;;
114;44600;;145,00;"Instandhaltung";;;;4;;448,63;303,63;;
115;44603;;175,00;"Instandhaltung";;;;4;;384,37;209,37;;
116;44596;;145,00;"Instandhaltung";;;;4;;196,35;51,35;;
117;44601;;79,50;"Instandhaltung";;;;4;;194,92;115,42;;
130;45121;;140,00;"Hausreinigung";;;;4;;184,45;44,45;;
131;45122;;140,00;"Hausreinigung";;;;4;;184,45;44,45;;
132;45123;;140,00;"Hausreinigung";;;;4;;184,45;44,45;;
133;45124;;140,00;"Hausreinigung";;;;4;;184,45;44,45;;
134;45125;;140,00;"Hausreinigung";;;;4;;184,45;44,45;;
135;45126;;140,00;"Hausreinigung";;;;4;;184,45;44,45;;
136;45127;;140,00;"Hausreinigung";;;;4;;184,45;44,45;;
137;45128;;140,00;"Hausreinigung";;;;4;;184,45;44,45;;
138;45129;;140,00;"Hausreinigung";;;;4;;184,45;44,45;;
139;45130;;140,00;"Hausreinigung";;;;4;;184,45;44,45;;
140;45131;;140,00;"Hausreinigung";;;;4;;184,45;44,45;;
141;45132;;140,00;"Hausreinigung";;;;4;;184,45;44,45;;
142;47691;;3500,00;"Instandhaltung";;;;4;;20000,00;16500,00;;
143;47692;;2110,00;"Instandhaltung";;;;4;;8560,00;6450,00;;
144;37730;;320,00;"Hausreinigung";;;;4;;398,65;78,65;;
145;37732;;320,00;"Hausreinigung";;;;4;;398,65;78,65;;
146;37734;;320,00;"Hausreinigung";;;;4;;398,65;78,65;;
147;37740;;320,00;"Hausreinigung";;;;4;;398,65;78,65;;
148;37742;;320,00;"Hausreinigung";;;;4;;398,65;78,65;;
149;37744;;320,00;"Hausreinigung";;;;4;;398,65;78,65;;
150;37746;;320,00;"Hausreinigung";;;;4;;398,65;78,65;;
151;37748;;320,00;"Hausreinigung";;;;4;;398,65;78,65;;
152;37795;;320,00;"Hausreinigung";;;;4;;398,65;78,65;;
153;50456;;320,00;"Hausreinigung";;;;4;;398,95;78,95;;
154;37736;;100,00;"Hausreinigung";;;;4;;124,95;24,95;;
155;37738;;100,00;"Hausreinigung";;;;4;;124,95;24,95;;
156;37778;;107,10;"Instandhaltung";;;;4;;119,00;11,90;;
157;37779;;107,10;"Instandhaltung";;;;4;;119,00;11,90;;
158;37774;;71,40;"Instandhaltung";;;;4;;83,30;11,90;;
159;37750;;184,30;"Instandhaltung";;;;4;;219,32;35,02;;
162;37780;;70,00;"Instandhaltung";;;;4;;83,30;13,30;;
163;37755;;70,00;"Instandhaltung";;;;4;;83,30;13,30;;
167;63408;;197,54;"Hausmeister";;;;4;;197,54;0,00;;
168;63407;;245,15;"Hausmeister";;;;4;;245,14;-0,01;;
169;63077;;292,74;"Hausmeister";;;;4;;292,74;0,00;;
170;63082;;245,14;"Hausmeister";;;;4;;245,14;0,00;;
171;63064;;294,53;"hausmeister";;;;4;;294,53;0,00;;
172;63059;;245,14;"hausmeister";;;;4;;245,14;0,00;;
