"ONR";"ABRVON";"ABRBIS";"KNR";"KNAME";"KBRUTTO"
16;01.01.2020;31.12.2020;40400;"Straßenreinigung";394,62
16;01.01.2020;31.12.2020;41000;"Heizungskosten";4500,24
16;01.01.2020;31.12.2020;41001;"Heizungskosten DG";1785,89
16;01.01.2020;31.12.2020;41200;"Schornsteinfeger";472,56
16;01.01.2020;31.12.2020;42030;"Wasser";4020,58
16;01.01.2020;31.12.2020;43000;"Allgemeinstrom";1056,48
16;01.01.2020;31.12.2020;43200;"Müllbeseitigung";1449,60
16;01.01.2020;31.12.2020;45100;"Grundsteuer";834,49
16;01.01.2020;31.12.2020;46100;"Versicherung";2135,38
15;01.01.2020;31.12.2020;40400;"Straßenreinigung";94,60
15;01.01.2020;31.12.2020;41200;"Schornsteinfeger";35,00
15;01.01.2020;31.12.2020;42030;"Wasser";2395,59
15;01.01.2020;31.12.2020;43000;"Allgemeinstrom";463,00
15;01.01.2020;31.12.2020;43200;"Müllbeseitigung";1047,60
15;01.01.2020;31.12.2020;45100;"Grundsteuer";217,01
15;01.01.2020;31.12.2020;46100;"Versicherung";1756,30
5;01.01.2020;31.12.2020;40400;"Straßenreinigung";305,62
5;01.01.2020;31.12.2020;41000;"Heizungskosten (EG + 1. OG)";2217,43
5;01.01.2020;31.12.2020;42030;"Wasser";3878,48
5;01.01.2020;31.12.2020;43000;"Allgemeinstrom";714,44
5;01.01.2020;31.12.2020;43200;"Müllbeseitigung";724,80
5;01.01.2020;31.12.2020;45100;"Grundsteuer";2441,08
5;01.01.2020;31.12.2020;46100;"Versicherung";763,03
16;01.01.2021;31.12.2021;40400;"Straßenreinigung";394,63
16;01.01.2021;31.12.2021;41000;"Heizungskosten";5261,37
16;01.01.2021;31.12.2021;41001;"Heizungskosten DG";2649,67
16;01.01.2021;31.12.2021;41200;"Schornsteinfeger";175,69
16;01.01.2021;31.12.2021;42030;"Wasser";4100,08
16;01.01.2021;31.12.2021;43000;"Allgemeinstrom";1098,96
16;01.01.2021;31.12.2021;43200;"Müllbeseitigung";1449,61
16;01.01.2021;31.12.2021;45100;"Grundsteuer";834,47
16;01.01.2021;31.12.2021;46100;"Versicherung";1779,87
9;01.01.2021;31.12.2021;41000;"Heizungskosten";11523,69
9;01.01.2021;31.12.2021;42030;"Wasser";9496,64
9;01.01.2021;31.12.2021;43000;"Allgemeinstrom";592,79
9;01.01.2021;31.12.2021;43200;"Müllbeseitigung";6193,75
9;01.01.2021;31.12.2021;45100;"Grundsteuer";3066,00
9;01.01.2021;31.12.2021;46100;"Versicherung";3096,73
21;01.01.2022;31.12.2022;40200;"Hausmeister";840,12
21;01.01.2022;31.12.2022;40204;"Instandhaltung Wohnhaus+Gewerb";743,75
21;01.01.2022;31.12.2022;42300;"Wasser";765,74
21;01.01.2022;31.12.2022;43000;"Allgemeinstrom";227,92
21;01.01.2022;31.12.2022;46000;"Versicherung";1847,10
21;01.01.2022;31.12.2022;49000;"Nebenkosten Geldverkehr";259,80
21;01.01.2022;31.12.2022;53400;"Schornsteinfeger";178,31
21;01.01.2022;31.12.2022;56500;"Verwaltervergütung";1875,74
21;01.01.2023;31.12.2023;40200;"Hausmeister";186,85
21;01.01.2023;31.12.2023;42300;"Wasser";1365,83
21;01.01.2023;31.12.2023;43000;"Allgemeinstrom";68,13
21;01.01.2023;31.12.2023;46000;"Versicherung";2127,21
