"BLZ";"BANK";"BIC";"LAND";"PLZ";"ORT";"PZ";"NBLZ";"IBAN_REGEL"
20730028;"UniCredit Bk Settlemt EAC28";"HYVEDEMME28";1;"21050";"Hamburg";"09";"00000000";"000000"
20730029;"UniCredit Bk Settlemt EAC29";"HYVEDEMME29";1;"21050";"Hamburg";"09";"00000000";"000000"
20730030;"UniCredit Bk Settlemt EAC30";"HYVEDEMME30";1;"21050";"Hamburg";"09";"00000000";"000000"
20730031;"UniCredit Bk Settlemt EAC31";"HYVEDEMME31";1;"21050";"Hamburg";"09";"00000000";"000000"
20730032;"UniCredit Bk Settlemt EAC32";"HYVEDEMME32";1;"21050";"Hamburg";"09";"00000000";"000000"
20730033;"UniCredit Bk Settlemt EAC33";"HYVEDEMME33";1;"21050";"Hamburg";"09";"00000000";"000000"
20730034;"UniCredit Bk Settlemt EAC34";"HYVEDEMME34";1;"21050";"Hamburg";"09";"00000000";"000000"
20730035;"UniCredit Bk Settlemt EAC35";"HYVEDEMME35";1;"21050";"Hamburg";"09";"00000000";"000000"
20730036;"UniCredit Bk Settlemt EAC36";"HYVEDEMME36";1;"21050";"Hamburg";"09";"00000000";"000000"
20730037;"UniCredit Bk Settlemt EAC37";"HYVEDEMME37";1;"21050";"Hamburg";"09";"00000000";"000000"
20730038;"UniCredit Bk Settlemt EAC38";"HYVEDEMME38";1;"21050";"Hamburg";"09";"00000000";"000000"
20730039;"UniCredit Bk Settlemt EAC39";"HYVEDEMME39";1;"21050";"Hamburg";"09";"00000000";"000000"
20730040;"UniCredit Bk Settlemt EAC40";"HYVEDEMME40";1;"21050";"Hamburg";"09";"00000000";"000000"
20730041;"UniCredit Bk Settlemt EAC41";"HYVEDEMME41";1;"21050";"Hamburg";"09";"00000000";"000000"
20730042;"UniCredit Bk Settlemt EAC42";"HYVEDEMME42";1;"21050";"Hamburg";"09";"00000000";"000000"
20730043;"UniCredit Bk Settlemt EAC43";"HYVEDEMME43";1;"21050";"Hamburg";"09";"00000000";"000000"
20730044;"UniCredit Bk Settlemt EAC44";"HYVEDEMME44";1;"21050";"Hamburg";"09";"00000000";"000000"
20730045;"UniCredit Bk Settlemt EAC45";"HYVEDEMME45";1;"21050";"Hamburg";"09";"00000000";"000000"
20730046;"UniCredit Bk Settlemt EAC46";"HYVEDEMME46";1;"21050";"Hamburg";"09";"00000000";"000000"
20730047;"UniCredit Bk Settlemt EAC47";"HYVEDEMME47";1;"21050";"Hamburg";"09";"00000000";"000000"
20730048;"UniCredit Bk Settlemt EAC48";"HYVEDEMME48";1;"21050";"Hamburg";"09";"00000000";"000000"
20730049;"UniCredit Bk Settlemt EAC49";"HYVEDEMME49";1;"21050";"Hamburg";"09";"00000000";"000000"
20730050;"UniCredit Bk Settlemt EAC50";"HYVEDEMME50";1;"21050";"Hamburg";"09";"00000000";"000000"
20730052;"UniCredit Bk Settlemt EAC52";"HYVEDEMME52";1;"21050";"Hamburg";"09";"00000000";"000000"
20730055;"UniCredit Bk Settlemt EAC55";"HYVEDEMME55";1;"21050";"Hamburg";"09";"00000000";"000000"
20730056;"UniCredit Bk Settlemt EAC56";"HYVEDEMME56";1;"21050";"Hamburg";"09";"00000000";"000000"
