"NR";"ONR";"NAME";"KZUF";"KENTN";"KNRP";"ANFSTAND";"USCHL";"POS1";"POS2";"POS3";"POS4";"POS5";"POS6";"POS1NAME";"POS2NAME";"POS3NAME";"POS4NAME";"POS5NAME";"POS6NAME";"POS1CHECK";"POS2CHECK";"POS3CHECK";"POS4CHECK";"POS5CHECK";"POS6CHECK";"ENDSTAND";"ZUF";"ENTN";"DTVON";"DTBIS";"ZUF_SOLL";"ENDSTAND_SOLL";"KONTO_VZ";"ZUFNACHZ";"POS7";"POS7NAME";"POS7CHECK";"POS8";"POS8NAME";"POS8CHECK";"POS9";"POS9NAME";"POS9CHECK";"POS10";"POS10NAME";"POS10CHECK";"ANFSTAND_SOLL";"KSONDERZUF";"SONDERZUF";"KSONDERENTN";"SONDERENTN";"ZUFNACHZ_SOLL";"RAP_SOLL";"RAP_IST";"AB_GEBUCHT"
25;4;"Rücklagen";30000;30100;840;0,00;52;;;;;;;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";;0,00;0,00;;;0,00;;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;;;;;;;;"N"
26;5;"Rücklagen";30000;30100;840;0,00;52;;;;;;;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";;0,00;0,00;;;0,00;;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;;;;;;;;"N"
27;6;"Rücklagen";30000;30100;840;0,00;52;;;;;;;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";;0,00;0,00;;;0,00;;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;;;;;;;;"N"
28;7;"Rücklagen";30000;30100;840;0,00;52;;;;;;;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";;0,00;0,00;;;0,00;;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;;;;;;;;"N"
30;9;"Rücklagen";30000;30100;840;0,00;52;;;;;;;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";;0,00;0,00;;;0,00;;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;;;;;;;;"N"
31;10;"Rücklagen";30000;30100;840;0,00;52;;;;;;;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";;0,00;0,00;;;0,00;;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;;;;;;;;"N"
32;11;"Rücklagen";30000;30100;840;0,00;52;;;;;;;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";;0,00;0,00;;;0,00;;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;;;;;;;;"N"
33;12;"Rücklagen";30000;30100;840;0,00;52;;;;;;;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";;0,00;0,00;;;0,00;;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;;;;;;;;"N"
34;13;"Rücklagen";30000;30100;840;0,00;52;;;;;;;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";;0,00;0,00;;;0,00;;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;;;;;;;;"N"
35;14;"Rücklagen";30000;30100;840;0,00;52;;;;;;;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";;0,00;0,00;;;0,00;;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;;;;;;;;"N"
36;15;"Rücklagen";30000;30100;840;0,00;52;;;;;;;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";;0,00;0,00;;;0,00;;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;;;;;;;;"N"
37;16;"Rücklagen";30000;30100;840;0,00;52;;;;;;;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";;0,00;0,00;;;0,00;;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;;;;;;;;"N"
38;17;"Rücklagen";30000;30100;840;0,00;52;;;;;;;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";;0,00;0,00;;;0,00;;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;;;;;;;;"N"
43;19;"Rücklagen";30000;30100;840;0,00;52;;;;;;;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";;0,00;0,00;;;0,00;;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;;;;;;;;"N"
48;20;"Rücklagen";30000;30100;840;0,00;52;;;;;;;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";;0,00;0,00;;;0,00;;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;;;;;;;;"N"
49;21;"Rücklagen";30000;30100;840;8004,00;52;0,00;0,00;0,00;0,00;0,00;0,00;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";7299,97;281,04;-994,20;01.01.2023;31.12.2023;500,04;7509,84;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";8004,00;;0,00;;0,00;0,00;0,00;9,13;"J"
212;1;"Rücklagen";30000;30100;840;0,00;52;;;;;;;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";;0,00;0,00;;;0,00;;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;;;;;;;;"N"
70;991;"Rücklagen";30000;30100;840;0,00;52;;;;;;;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";;0,00;0,00;;;0,00;;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;;;;;;;;"N"
71;33;"Rücklagen";30000;30100;840;0,00;52;;;;;;;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";;0,00;0,00;;;0,00;;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;;;;;;;;"N"
82;38;"Rücklagen";30000;30100;840;0,00;52;;;;;;;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";;0,00;0,00;;;0,00;;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;;;;;;;;"N"
101;995;"Rücklagen";30000;30100;840;0,00;52;;;;;;;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";;0,00;0,00;;;0,00;;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;;;;;;;;"N"
102;994;"Rücklagen";30000;30100;840;0,00;52;;;;;;;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";;0,00;0,00;;;0,00;;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;;;;;;;;"N"
100;40;"Rücklagen";30000;30100;840;0,00;52;;;;;;;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";;0,00;0,00;;;0,00;;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;;;;;;;;"N"
104;18;"Rücklagen";30000;30100;840;0,00;52;;;;;;;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";;0,00;0,00;;;0,00;;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;;;;;;;;"N"
107;42;"Rücklagen";30000;30100;840;35610,22;52;14,96;0,00;0,00;0,00;0,00;0,00;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";35625,18;0,00;0,00;01.01.2023;31.12.2023;0,00;35625,18;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";35610,22;57006;0,00;;0,00;0,00;0,00;0,00;"J"
106;41;"Rücklagen";30000;30100;840;0,00;52;;;;;;;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";;0,00;0,00;;;0,00;;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;;;;;;;;"N"
125;51;"Rücklagen";30000;30100;840;2701,12;52;0,00;0,00;0,00;0,00;0,00;0,00;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";6679,37;2907,60;0,00;01.01.2024;31.12.2024;3501,12;7002,24;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";2701,12;57002;800,00;30101;0,00;0,00;0,00;270,65;"J"
117;44;"Rücklagen";30000;30100;840;20718,70;52;0,00;0,00;0,00;0,00;0,00;0,00;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";22575,29;1999,92;0,00;01.01.2024;31.12.2024;1999,92;22718,62;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";20718,70;;0,00;;0,00;0,00;0,00;-143,33;"J"
118;45;"Rücklagen";30000;30100;841;25761,87;52;0,00;0,00;0,00;0,00;0,00;0,00;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";31593,23;5718,72;0,00;01.01.2024;31.12.2024;6078,45;31840,32;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";25761,87;;0,00;30101;0,00;0,00;0,00;112,64;"J"
119;46;"Rücklagen";30000;30100;840;25888,17;52;0,00;0,00;0,00;0,00;0,00;0,00;"Zinsen";"Zinsabschlagsteuer";"Solidaritätszuschlag";"Kapitalertragssteuer";"Frei definierbar";"Frei definierbar";"J";"J";"J";"J";"N";"N";3688,69;5000,52;0,00;01.01.2023;31.12.2023;7504,65;6192,82;60110;0,00;0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";0,00;"Frei definierbar";"N";25888,17;;0,00;30101;-27200,00;0,00;0,00;0,00;"J"
