"ONR";"JAHR";"SMONAT"
4;2020;"100000111111"
5;2020;"111111111111"
6;2020;"111111111111"
7;2020;"111111111111"
9;2020;"111111111111"
10;2020;"111111111111"
11;2020;"111111111111"
12;2020;"111111111111"
13;2020;"111111111111"
14;2020;"111111111111"
15;2020;"111111111111"
16;2020;"111111111111"
17;2020;"111111111111"
19;2020;"111111111111"
20;2020;"000000001111"
21;2020;"000000000011"
76;2023;"111111111111"
73;2023;"111111111111"
4;2021;"111111111111"
5;2021;"111111111111"
6;2021;"111111111111"
7;2021;"111111111111"
9;2021;"111111111111"
10;2021;"111111111111"
11;2021;"111111111111"
12;2021;"111111111111"
13;2021;"111111111111"
14;2021;"111111111111"
15;2021;"111111111111"
16;2021;"111111111111"
17;2021;"111111111111"
19;2021;"111111111111"
20;2021;"111111111111"
21;2021;"111111111111"
991;2021;"111111110011"
33;2021;"011111111111"
33;2020;"000000000000"
991;2020;"000000000000"
38;2021;"111111111111"
38;2020;"000000011111"
16;2022;"111111111111"
4;2022;"111111111111"
5;2022;"111111111111"
6;2022;"111111111111"
7;2022;"111111111111"
9;2022;"111111111111"
10;2022;"111111111111"
11;2022;"111111111111"
12;2022;"111111111111"
13;2022;"111111111111"
