"ONR";"KNR";"ZPOS";"BETRAG1";"DATUM1";"BETRAG2";"DATUM2";"BETRAG3";"DATUM3";"BETRAG4";"DATUM4";"BETRAG5";"DATUM5";"BETRAG6";"DATUM6";"BETRAG7";"DATUM7";"BETRAG8";"DATUM8";"BETRAG9";"DATUM9";"BETRAG10";"DATUM10"
7;100101;1;360,00;01.05.2016;;;;;;;;;;;;;;;;;;
7;100101;3;90,00;01.05.2016;;;;;;;;;;;;;;;;;;
9;100101;1;577,39;01.10.2019;;;;;;;;;;;;;;;;;;
9;100101;3;253,00;01.10.2019;;;;;;;;;;;;;;;;;;
9;100101;4;92,00;01.10.2019;;;;;;;;;;;;;;;;;;
9;100301;1;300,00;01.10.2019;;;;;;;;;;;;;;;;;;
9;100301;3;90,00;01.01.2022;120,00;01.08.2022;71,00;01.10.2019;;;;;;;;;;;;;;
9;100301;4;170,00;01.08.2022;100,00;01.10.2019;;;;;;;;;;;;;;;;
9;100400;1;291,00;01.10.2019;;;;;;;;;;;;;;;;;;
9;100400;3;90,00;01.01.2022;120,00;01.08.2022;70,00;01.10.2019;;;;;;;;;;;;;;
9;100400;4;170,00;01.08.2022;90,00;01.10.2019;;;;;;;;;;;;;;;;
9;100500;1;295,32;01.10.2019;;;;;;;;;;;;;;;;;;
9;100500;3;90,00;01.01.2022;120,00;01.01.2023;80,00;01.10.2019;;;;;;;;;;;;;;
9;100500;4;210,00;01.01.2023;90,00;01.10.2019;;;;;;;;;;;;;;;;
9;100601;1;300,00;01.07.2019;;;;;;;;;;;;;;;;;;
9;100601;3;90,00;01.01.2022;120,00;01.08.2022;61,00;01.07.2019;;;;;;;;;;;;;;
9;100601;4;170,00;01.08.2022;100,00;01.07.2019;;;;;;;;;;;;;;;;
9;100701;1;300,00;01.04.2019;;;;;;;;;;;;;;;;;;
9;100701;3;61,00;01.04.2019;;;;;;;;;;;;;;;;;;
9;100701;4;100,00;01.04.2019;;;;;;;;;;;;;;;;;;
9;100800;1;292,00;01.10.2019;;;;;;;;;;;;;;;;;;
9;100800;3;79,00;01.08.2020;90,00;01.01.2022;120,00;01.08.2022;69,00;01.10.2019;;;;;;;;;;;;
9;100800;4;170,00;01.08.2022;90,00;01.10.2019;;;;;;;;;;;;;;;;
10;100101;1;300,00;01.06.2018;;;;;;;;;;;;;;;;;;
10;100101;3;50,00;01.06.2018;;;;;;;;;;;;;;;;;;
10;100101;4;50,00;01.06.2018;;;;;;;;;;;;;;;;;;
10;100200;1;253,00;01.06.2018;;;;;;;;;;;;;;;;;;
10;100200;3;96,00;01.06.2018;;;;;;;;;;;;;;;;;;
10;100200;4;50,00;01.06.2018;;;;;;;;;;;;;;;;;;
12;100101;1;400,45;01.02.2019;;;;;;;;;;;;;;;;;;
12;100101;3;50,00;01.02.2019;;;;;;;;;;;;;;;;;;
12;100101;4;150,00;01.02.2019;;;;;;;;;;;;;;;;;;
13;100100;1;150,00;15.01.2020;300,00;01.02.2020;;;;;;;;;;;;;;;;
4;100100;1;530,00;01.07.2022;500,00;01.07.2020;;;;;;;;;;;;;;;;
4;100201;1;450,00;01.07.2020;;;;;;;;;;;;;;;;;;
4;100301;1;200,00;01.07.2020;;;;;;;;;;;;;;;;;;
4;100301;4;30,00;01.07.2020;;;;;;;;;;;;;;;;;;
4;100501;1;400,00;01.07.2020;;;;;;;;;;;;;;;;;;
4;100501;4;90,00;01.07.2020;;;;;;;;;;;;;;;;;;
4;100401;1;230,00;01.07.2020;;;;;;;;;;;;;;;;;;
4;100401;4;60,00;01.07.2020;;;;;;;;;;;;;;;;;;
4;100601;1;575,00;01.12.2020;500,00;01.07.2020;;;;;;;;;;;;;;;;
5;100100;1;500,00;01.08.2020;600,00;01.01.2024;;;;;;;;;;;;;;;;
5;100100;4;75,00;01.08.2020;70,00;01.01.2022;;;;;;;;;;;;;;;;
5;100201;1;700,70;01.06.2021;650,00;01.10.2006;;;;;;;;;;;;;;;;
5;100201;3;270,00;01.10.2006;;;;;;;;;;;;;;;;;;
5;100400;1;360,00;01.06.2021;300,00;02.10.2006;432,00;01.07.2024;;;;;;;;;;;;;;
5;100400;3;90,00;02.10.2006;;;;;;;;;;;;;;;;;;
5;100500;1;324,00;01.06.2021;270,00;02.10.2006;;;;;;;;;;;;;;;;
5;100500;3;90,00;01.06.2021;60,00;01.01.2020;;;;;;;;;;;;;;;;
