"NR";"TEXT"
1;"Sie möchten bestimmte Kosten z.B. 70% nach Personenzahl und 30% nach Wohnfläche umlegen?

Einfach unter HAUS - KONTENRAHMEN - KONTEN dem entsprechenden Konto zwei verschiedene Umlageschlüssel zuordnen. 
Den Rest macht Win-CASA für Sie."
2;"Im Menü STAMMDATEN - TERMINE 
ist ein kompletter Terminplaner in Win-CASA bereits integriert. 

Der Terminplaner erinnert Sie automatisch, wenn ein Termin ansteht und erzeugt  Terminlisten."
3;"Lassen Sie häufig wiederkehrende Zahlungen (z.B. Abschlagszahlungen an Stadtwerke, Müllgebühren, Strompauschalen) von Win-CASA automatisch erzeugen!

Näheres dazu im Menü  BUCHHALTUNG - ZAHLUNGSTERMINE"
4;"Die Liste der letzten 20 Buchungen im Fenster Sollstellung buchen können Sie sich auch nur für das aktuelle Haus anzeigen lassen. 

Näheres dazu im Menü STAMMDATEN - VOREINSTELLUNGEN - BUCHHALTUNG."
5;"Miet- / Hausgelderhöhungen können Sie in Win-CASA automatisch generieren lassen. Zusätzlich wird ein Erhöhungsanschreiben für Mieter/Eigentümer erstellt.

Näheres finden Sie im Menü HAUS - ERHÖHUNGEN."
6;"Die beim Buchen verwendete laufende Beleg-Nummer können Sie im Menü HAUS - LAUFENDE BELEG Nr. ändern.

Ob die Beleg Nr. automatisch hochgezählt wird oder nicht können Sie im Menü STAMMDATEN - VOREINSTELLUNGEN - BUCHHALTUNG einstellen. "
7;"Der auf Sollstellungen u. Lastschriften und damit auch auf dem Kontoauszug des Mieters/Eigentümers erscheinende Text kann von Ihnen geändert werden. 

Näheres finden Sie im Menü STAMMDATEN - VOREINSTELLUNGEN - BUCHHALTUNG"
8;"In Win-CASA ist eine komplette Kautionsabrechnung integriert. Abzurechnende Mieter erhalten dadurch eine komplette Übersicht über Ihre Kaution, aufgelaufene Zinsen abzgl. möglicher verbliebener Aufwendungen.

Näheres finden Sie im Menü WOHNUNG - DATEN - REGISTER KAUTION"
9;"Kontrollieren Sie bitte regelmäßig ob Sie mit der aktuellsten Version von Win-CASA arbeiten. Unter HILFE - INFO finden Sie das Programmdatum ihrer Version.
Direkt über unsere Internetseite unter
www.software24.de erhalten Sie stets die aktuellste SERVICE DATEI - zum Download - KOSTENLOS.
Beachten Sie hierzu auch das Menü HILFE - WIN-CASA INTERNET SERVICE CENTER!"
10;"Die Win-CASA Online Hilfe erklärt wichtige tägliche Buchungsfälle wie z.B.:
- Unterzahlung eines Mieters
- Verbuchen einer Lastschrift
- Buchungen von Rechnungen

Näheres finden Sie im Menü HILFE - LERNPROGRAMM - HÄUFIGE BUCHUNGSFÄLLE"
