"NR";"ONR";"BEZ";"KKLASSE";"SOLL";"MONAT";"PRIOR";"MWSTSATZ";"KNR";"MWSTSATZ_G";"MWSTSATZ_P"
6417;4;"Miete";10;1;1;1;;60000;;
6418;4;"Garage/Stellpl.";10;1;1;2;;60010;;
6419;4;"Betriebskosten";11;1;1;3;;60020;;
6420;4;"Heizkosten";12;1;1;4;;60030;;
6421;4;"Hausgeld";15;1;1;1;;60100;;
6422;4;"Rücklagen";110;1;1;2;;60110;;
6423;5;"Miete";10;1;1;1;;60000;;
6424;5;"Garage/Stellpl.";10;1;1;2;;60010;;
6425;5;"Betriebskosten";11;1;1;3;;60020;;
6426;5;"Heizkosten";12;1;1;4;;60030;;
6427;5;"Hausgeld";15;1;1;1;;60100;;
6428;5;"Rücklagen";110;1;1;2;;60110;;
6429;6;"Miete";10;1;1;1;;60000;;
6430;6;"Garage/Stellpl.";10;1;1;2;;60010;;
6431;6;"Betriebskosten";11;1;1;3;;60020;;
6432;6;"Heizkosten";12;1;1;4;;60030;;
6433;6;"Hausgeld";15;1;1;1;;60100;;
6434;6;"Rücklagen";110;1;1;2;;60110;;
6435;7;"Miete";10;1;1;1;;60000;;
6436;7;"Garage/Stellpl.";10;1;1;2;;60010;;
6437;7;"Betriebskosten";11;1;1;3;;60020;;
6438;7;"Heizkosten";12;1;1;4;;60030;;
6439;7;"Hausgeld";15;1;1;1;;60100;;
6440;7;"Rücklagen";110;1;1;2;;60110;;
6447;9;"Miete";10;1;1;1;;60000;;
6448;9;"Garage/Stellpl.";10;1;1;2;;60010;;
6449;9;"Betriebskosten";11;1;1;3;;60020;;
6450;9;"Heizkosten";12;1;1;4;;60030;;
6451;9;"Hausgeld";15;1;1;1;;60100;;
6452;9;"Rücklagen";110;1;1;2;;60110;;
6453;10;"Miete";10;1;1;1;;60000;;
6454;10;"Garage/Stellpl.";10;1;1;2;;60010;;
6455;10;"Betriebskosten";11;1;1;3;;60020;;
6456;10;"Heizkosten";12;1;1;4;;60030;;
6457;10;"Hausgeld";15;1;1;1;;60100;;
6458;10;"Rücklagen";110;1;1;2;;60110;;
6459;11;"Miete";10;1;1;1;;60000;;
6460;11;"Garage/Stellpl.";10;1;1;2;;60010;;
6461;11;"Betriebskosten";11;1;1;3;;60020;;
6462;11;"Heizkosten";12;1;1;4;;60030;;
6463;11;"Hausgeld";15;1;1;1;;60100;;
6464;11;"Rücklagen";110;1;1;2;;60110;;
6465;12;"Miete";10;1;1;1;0;60000;;
6466;12;"Garage/Stellpl.";10;1;1;2;0;60010;;
6467;12;"Betriebskosten";11;1;1;3;0;60020;;
6468;12;"Heizkosten";12;1;1;4;0;60030;;
6469;12;"Hausgeld";15;1;1;1;0;60100;;
6470;12;"Rücklagen";110;1;1;2;0;60110;;
6471;13;"Miete";10;1;1;1;0;60000;;
6472;13;"Garage/Stellpl.";10;1;1;2;0;60010;;
