"ONR";"ENR";"EBEZ";"WNOTIZ";"FRINH1";"FRINH2";"FRINH3";"FRINH4";"FRINH5";"FRINH6";"FRINH7";"FRINH8";"FRINH9";"FRINH10";"FRINH11";"FRINH12";"ART";"DRUCKWAS";"BKNR";"EKNR"
16;4;"1. OG rechts";"Renoviert 2019";"Zentral - Junkers KN 36-8D 23, BJ 1996";"";"";"";"";"";"";"";"";"";"";"";"Wohnung";;100400;200400
16;5;"2. OG links";"";"Zentral - Junkers KN 36-8D 23, BJ 1996";"";"";"";"";"";"";"";"";"";"";"";"Wohnung";;100500;200500
16;6;"2. OG rechts";"";"Zentral - Junkers KN 36-8D 23, BJ 1996";"";"";"";"";"";"";"";"";"";"";"";"Wohnung";;100600;200600
16;7;"DG links";"Renoviert 2018";"Junkers ZR 18-3 KE23";"1994";"";"";"";"";"";"";"";"";"";"";"Wohnung";;100700;200700
16;8;"DG rechts";"Kernsaniert 2019";"Junkers ZR 18-3 KE23";"1994";"";"";"";"";"";"";"";"";"";"";"Wohnung";;100800;200800
16;9;"Lokal";"";"Zentral - Junkers KN 36-8D 23, BJ 1996";"";"";"";"";"";"";"";"";"";"";"";"Gewerbe";;100900;200900
17;1;"1. OG links";"Saniert 2018";"Vaillaint VC 240 XEU";"1989";"";"";"";"";"";"";"";"";"";"";"Wohnung";;100100;200100
17;2;"1. OG rechts";"Kernsaniert 2018";"Vaillaint VC 240 XEU";"1989";"";"";"";"";"";"";"";"";"";"";"Wohnung";;100200;200200
17;3;"2. OG links";"Kernsaniert 2018";"Vaillaint VC 240 XEU";"1989";"";"";"";"";"";"";"";"";"";"";"Wohnung";;100300;200300
17;4;"2. OG mitte";"Kernsaniert 2018";"Vaillaint VC 240 XEU";"1989";"";"";"";"";"";"";"";"";"";"";"Wohnung";;100400;200400
17;5;"2. OG rechts";"Kernsaniert 2016";"Vaillaint VC 240 XEU";"1989";"";"";"";"";"";"";"";"";"";"";"Wohnung";;100500;200500
17;6;"Kleines Ladenlokal";"Kernsaniert 2016";"Vaillaint VC 240 XEU";"1989";"";"";"";"";"";"";"";"";"";"";"Gewerbe";;100600;200600
17;7;"Großes Ladenlokal";"Kernsaniert 2016";"Junkers ZBR-42";"2011";"";"";"";"";"";"";"";"";"";"";"Wohnung";;100700;200700
4;1;"EG";"";"Etagenheizung unbekannt";"";"";"";"";"";"";"";"";"";"";"";"Wohnung";;100100;200100
4;2;"1. OG links";"";"Etagenheizung Unbekannt";"";"";"";"";"";"";"";"";"";"";"";"Wohnung";;100200;200200
4;3;"1. OG rechts";"";"Zentral: Vaillant, VC 194 XE-C HL";"1999";"";"";"";"";"";"";"";"";"";"";"Wohnung";;100300;200300
5;2;"1. OG";"";"Wolf FNG 17";" 2008";"";"";"";"";"";"";"";"";"";"";"Wohnung";;100200;200200
4;5;"2. OG rechts";"";"Zentral: Vaillant, VC 194 XE-C HL";"1999";"";"";"";"";"";"";"";"";"";"";"Wohnung";;100500;200500
4;4;"2. OG links";"";"Zentral: Vaillant, VC 194 XE-C HL";"1999";"";"";"";"";"";"";"";"";"";"";"Wohnung";;100400;200400
4;6;"DG";"";"Etagenheizung unbekannt";"";"";"";"";"";"";"";"";"";"";"";"Wohnung";;100600;200600
5;1;"Laden EG";"";"";"";"";"";"";"";"";"";"";"";"";"";"Laden";;100100;200100
