"ZTNR";"HAUS";"TEXT";"BETRAG";"KONTO";"GKONTO";"KONTOSTR";"GKONTOSTR";"FAELLIG";"ERZEUGT";"SOLLUEB";"LIEFNR";"VZWECK1";"VZWECK2";"MWST";"UART";"RLAKNR";"SPLITNR";"WDATUM";"BELEGLINK"
83;4;"Grundbesitzabgaben Grundsteuer Von Waldthausen";212,37;45100;18;"45100 Grundsteuer";"70001 VONWA44 GRUNDB";15.02.2021;06.05.2021;"N";70001;"";"";0,00;2;;83;;""
84;4;"Straßenreinigung Grundbesitzabgaben Von Waldthausen";203,30;40400;18;"40400 Straßenreinigung";"70001 VONWA44 GRUNDB";15.02.2021;;"N";70001;"";"";0,00;2;;83;;""
85;4;"Müllentsorgung Grundbesitzabgaben Von Waldthausen";518,14;43200;18;"43200 Müllbeseitigung";"70001 VONWA44 GRUNDB";15.02.2021;;"N";70001;"";"";19,00;2;;83;;""
86;4;"Wasserentsorgung Grundbesitzabgaben Von Waldthausen";492,94;42030;18;"42030 Wasser";"70001 VONWA44 GRUNDB";15.02.2021;;"N";70001;"";"";7,00;2;;83;;""
87;4;"Niederschlag Grundbesitzabgaben Von Waldthausen";35,21;42030;18;"42030 Wasser";"70001 VONWA44 GRUNDB";15.02.2021;;"N";70001;"";"";7,00;2;;83;;""
88;4;"Grundbesitzabgaben Grundsteuer Von Waldthausen";212,37;45100;18;"45100 Grundsteuer";"70001 VONWA44 GRUNDB";15.05.2021;07.06.2021;"N";70001;"";"";0,00;2;;88;;""
89;4;"Straßenreinigung Grundbesitzabgaben Von Waldthausen";203,30;40400;18;"40400 Straßenreinigung";"70001 VONWA44 GRUNDB";15.05.2021;;"N";70001;"";"";0,00;2;;88;;""
90;4;"Müllentsorgung Grundbesitzabgaben Von Waldthausen";518,14;43200;18;"43200 Müllbeseitigung";"70001 VONWA44 GRUNDB";15.05.2021;;"N";70001;"";"";19,00;2;;88;;""
91;4;"Wasserentsorgung Grundbesitzabgaben Von Waldthausen";492,94;42030;18;"42030 Wasser";"70001 VONWA44 GRUNDB";15.05.2021;;"N";70001;"";"";7,00;2;;88;;""
92;4;"Niederschlag Grundbesitzabgaben Von Waldthausen";35,21;42030;18;"42030 Wasser";"70001 VONWA44 GRUNDB";15.05.2021;;"N";70001;"";"";7,00;2;;88;;""
93;4;"Grundbesitzabgaben Grundsteuer Von Waldthausen";212,37;45100;18;"45100 Grundsteuer";"70001 VONWA44 GRUNDB";15.08.2021;14.10.2021;"N";70001;"";"";0,00;2;;93;;""
94;4;"Straßenreinigung Grundbesitzabgaben Von Waldthausen";203,30;40400;18;"40400 Straßenreinigung";"70001 VONWA44 GRUNDB";15.08.2021;;"N";70001;"";"";0,00;2;;93;;""
95;4;"Müllentsorgung Grundbesitzabgaben Von Waldthausen";518,14;43200;18;"43200 Müllbeseitigung";"70001 VONWA44 GRUNDB";15.08.2021;;"N";70001;"";"";19,00;2;;93;;""
96;4;"Wasserentsorgung Grundbesitzabgaben Von Waldthausen";492,94;42030;18;"42030 Wasser";"70001 VONWA44 GRUNDB";15.08.2021;;"N";70001;"";"";7,00;2;;93;;""
97;4;"Niederschlag Grundbesitzabgaben Von Waldthausen";35,21;42030;18;"42030 Wasser";"70001 VONWA44 GRUNDB";15.08.2021;;"N";70001;"";"";7,00;2;;93;;""
98;4;"Grundbesitzabgaben Grundsteuer Von Waldthausen";212,37;45100;18;"45100 Grundsteuer";"70001 VONWA44 GRUNDB";15.11.2021;14.01.2022;"N";70001;"";"";0,00;2;;98;;""
99;4;"Straßenreinigung Grundbesitzabgaben Von Waldthausen";203,30;40400;18;"40400 Straßenreinigung";"70001 VONWA44 GRUNDB";15.11.2021;;"N";70001;"";"";0,00;2;;98;;""
100;4;"Müllentsorgung Grundbesitzabgaben Von Waldthausen";518,14;43200;18;"43200 Müllbeseitigung";"70001 VONWA44 GRUNDB";15.11.2021;;"N";70001;"";"";19,00;2;;98;;""
101;4;"Wasserentsorgung Grundbesitzabgaben Von Waldthausen";492,94;42030;18;"42030 Wasser";"70001 VONWA44 GRUNDB";15.11.2021;;"N";70001;"";"";7,00;2;;98;;""
102;4;"Niederschlag Grundbesitzabgaben Von Waldthausen";35,21;42030;18;"42030 Wasser";"70001 VONWA44 GRUNDB";15.11.2021;;"N";70001;"";"";7,00;2;;98;;""
134;33;"Straßenreinigung";169,14;40400;18;"40400 Straßenreinigung";"70003 POLSU156 GRUNDB";01.01.2021;;"N";70003;"";"";0,00;2;;133;;""
135;33;"Abfall";431,00;43200;18;"43200 Müllbeseitigung";"70003 POLSU156 GRUNDB";01.01.2021;;"N";70003;"";"";19,00;2;;133;;""
136;33;"Schmutzwasser";397,01;42030;18;"42030 Wasser";"70003 POLSU156 GRUNDB";01.01.2021;;"N";70003;"";"";7,00;2;;133;;""
137;33;"Niederschlag";166,40;42030;18;"42030 Wasser";"70003 POLSU156 GRUNDB";01.01.2021;;"N";70003;"";"";7,00;2;;133;;""
139;33;"Straßenreinigung";169,14;40400;18;"40400 Straßenreinigung";"70003 POLSU156 GRUNDB";01.04.2021;;"N";70003;"";"";0,00;2;;138;;""
140;33;"Abfall";431,00;43200;18;"43200 Müllbeseitigung";"70003 POLSU156 GRUNDB";01.04.2021;;"N";70003;"";"";19,00;2;;138;;""
141;33;"Schmutzwasser";397,01;42030;18;"42030 Wasser";"70003 POLSU156 GRUNDB";01.04.2021;;"N";70003;"";"";7,00;2;;138;;""
142;33;"Niederschlag";166,40;42030;18;"42030 Wasser";"70003 POLSU156 GRUNDB";01.04.2021;;"N";70003;"";"";7,00;2;;138;;""
144;33;"Straßenreinigung";169,14;40400;18;"40400 Straßenreinigung";"70003 POLSU156 GRUNDB";01.07.2021;;"N";70003;"";"";0,00;2;;143;;""
145;33;"Abfall";431,00;43200;18;"43200 Müllbeseitigung";"70003 POLSU156 GRUNDB";01.07.2021;;"N";70003;"";"";19,00;2;;143;;""
146;33;"Schmutzwasser";397,01;42030;18;"42030 Wasser";"70003 POLSU156 GRUNDB";01.07.2021;;"N";70003;"";"";7,00;2;;143;;""
147;33;"Niederschlag";166,40;42030;18;"42030 Wasser";"70003 POLSU156 GRUNDB";01.07.2021;;"N";70003;"";"";7,00;2;;143;;""
149;33;"Straßenreinigung";169,14;40400;18;"40400 Straßenreinigung";"70003 POLSU156 GRUNDB";01.10.2021;;"N";70003;"";"";0,00;2;;148;;""
150;33;"Abfall";431,00;43200;18;"43200 Müllbeseitigung";"70003 POLSU156 GRUNDB";01.10.2021;;"N";70003;"";"";19,00;2;;148;;""
151;33;"Schmutzwasser";397,01;42030;18;"42030 Wasser";"70003 POLSU156 GRUNDB";01.10.2021;;"N";70003;"";"";7,00;2;;148;;""
152;33;"Niederschlag";166,40;42030;18;"42030 Wasser";"70003 POLSU156 GRUNDB";01.10.2021;;"N";70003;"";"";7,00;2;;148;;""
153;33;"";;;;"";"";;;"N";-1;"";"";;;;;;""
154;33;"";;;;"";"";;;"N";-1;"";"";;;;;;""
156;33;"Grundbesitzabgaben Straßenreinigung";169,14;40400;18;"40400 Straßenreinigung";"70003 POLSU156 GRUNDB";01.04.2021;;"N";70003;"";"";0,00;2;;155;;""
157;33;"Grundbesitzabgaben Abfall";431,00;43200;18;"43200 Müllbeseitigung";"70003 POLSU156 GRUNDB";01.04.2021;;"N";70003;"";"";19,00;2;;155;;""
158;33;"Grundbesitzabgaben Schmutzwasser";397,01;42030;18;"42030 Wasser";"70003 POLSU156 GRUNDB";01.04.2021;;"N";70003;"";"";7,00;2;;155;;""
159;33;"Grundbesitzabgaben Niederschlag";166,40;42030;18;"42030 Wasser";"70003 POLSU156 GRUNDB";01.04.2021;;"N";70003;"";"";7,00;2;;155;;""
171;33;"Straßenreinigung";169,14;40400;18;"40400 Straßenreinigung";"70003 POLSU156 GRUNDB";01.04.2021;;"N";70003;"";"";0,00;2;;170;;""
172;33;"Müll";431,00;43200;18;"43200 Müllbeseitigung";"70003 POLSU156 GRUNDB";01.04.2021;;"N";70003;"";"";19,00;2;;170;;""
173;33;"Schmutzwasser";397,01;42030;18;"42030 Wasser";"70003 POLSU156 GRUNDB";01.04.2021;;"N";70003;"";"";7,00;2;;170;;""
174;33;"Niederschlag";166,40;42030;18;"42030 Wasser";"70003 POLSU156 GRUNDB";01.04.2021;;"N";70003;"";"";7,00;2;;170;;""
175;33;"Mahnung";41,00;48800;18;"48800 Sonstige Ausgaben";"70003 POLSU156 GRUNDB";01.04.2021;;"N";70003;"";"";0,00;2;;170;;""
192;33;"Grundsteuer Grundbesitzangaben Polsumer Straße";688,82;45100;19;"45100 Grundsteuer";"70003 POLSU156 GRUNDB";01.04.2021;07.05.2021;"N";70003;"";"";0,00;2;;192;;""
193;33;"Abwasser Grundbesitzangaben Polsumer Straße";397,01;42030;19;"42030 Wasser";"70003 POLSU156 GRUNDB";01.04.2021;;"N";70003;"";"";7,00;2;;192;;""
194;33;"Abfallgebühren Grundbesitzangaben Polsumer Straße";431,00;43200;19;"43200 Müllbeseitigung";"70003 POLSU156 GRUNDB";01.04.2021;;"N";70003;"";"";19,00;2;;192;;""
